Question,A,B,C,D,Answer
Câu 1,A,B,C,D,C
Câu 2,A,B,C,D,C
Câu 3,A,B,C,D,A
Câu 4,A,B,C,D,A
Câu 5,A,B,C,D,B
Câu 6,A,B,C,D,B
Câu 7,A,B,C,D,C
Câu 8,A,B,C,D,D
Câu 9,A,B,C,D,A
Câu 10,A,B,C,D,D
Câu 11,A,B,C,D,C
Câu 12,A,B,C,D,C
Câu 13,A,B,C,D,C
Câu 14,A,B,C,D,B
Câu 15,A,B,C,D,D
Câu 16,A,B,C,D,C
Câu 17,A,B,C,D,C
Câu 18,A,B,C,D,C
Câu 19,A,B,C,D,C
Câu 20,A,B,C,D,B
Câu 21,A,B,C,D,A
Câu 22,A,B,C,D,D
Câu 23,A,B,C,D,D
Câu 24,A,B,C,D,A
Câu 25,A,B,C,D,C
Câu 26,A,B,C,D,C
Câu 27,A,B,C,D,D
Câu 28,A,B,C,D,D
Câu 29,A,B,C,D,C
Câu 30,A,B,C,D,A
Câu 31,A,B,C,D,B
Câu 32,A,B,C,D,D
Câu 33,A,B,C,D,A
Câu 34,A,B,C,D,B
Câu 35,A,B,C,D,B
Câu 36,A,B,C,D,B
Câu 37,A,B,C,D,C
Câu 38,A,B,C,D,D
Câu 39,A,B,C,D,A
Câu 40,A,B,C,D,D
Câu 41,A,B,C,D,D
Câu 42,A,B,C,D,A
Câu 43,A,B,C,D,C
Câu 44,A,B,C,D,A
Câu 45,A,B,C,D,C
Câu 46,A,B,C,D,A
Câu 47,A,B,C,D,C
Câu 48,A,B,C,D,A/C
Câu 49,A,B,C,D,E
Câu 50,A,B,C,D,B
Câu 51,A,B,C,D,A
Câu 52,A,B,C,D,A
Câu 53,A,B,C,D,D
Câu 54,A,B,C,D,A
Câu 55,A,B,C,D,B
Câu 56,A,B,C,D,B
Câu 57,A,B,C,D,B
Câu 58,A,B,C,D,C
Câu 59,A,B,C,D,D
Câu 60,A,B,C,D,C
Câu 61,A,B,C,D,C
Câu 62,A,B,C,D,C
Câu 63,A,B,C,D,C
Câu 64,A,B,C,D,A
Câu 65,A,B,C,D,D
Câu 66,A,B,C,D,A
Câu 67,A,B,C,D,C
Câu 68,A,B,C,D,B
Câu 69,A,B,C,D,D
Câu 70,A,B,C,D,B
Câu 71,A,B,C,D,C
Câu 72,A,B,C,D,A
Câu 73,A,B,C,D,B
Câu 74,A,B,C,D,B
Câu 75,A,B,C,D,A
Câu 76,A,B,C,D,B
Câu 77,A,B,C,D,D
Câu 78,A,B,C,D,C
Câu 79,A,B,C,D,C
Câu 80,A,B,C,D,B
Câu 81,A,B,C,D,D
Câu 82,A,B,C,D,D
Câu 83,A,B,C,D,B
Câu 84,A,B,C,D,D
Câu 85,A,B,C,D,C
Câu 86,A,B,C,D,B
Câu 87,A,B,C,D,B
Câu 88,A,B,C,D,C
Câu 89,A,B,C,D,B
Câu 90,A,B,C,D,B
Câu 91,A,B,C,D,A
Câu 92,A,B,C,D,B
Câu 93,A,B,C,D,B
Câu 94,A,B,C,D,C
Câu 95,A,B,C,D,B
Câu 96,A,B,C,D,C
Câu 97,A,B,C,D,C
Câu 98,A,B,C,D,A
Câu 99,A,B,C,D,C
Câu 100,A,B,C,D,A
Câu 101,A,B,C,D,D
Câu 102,A,B,C,D,A
Câu 103,A,B,C,D,C
Câu 104,A,B,C,D,C
Câu 105,A,B,C,D,A
Câu 106,A,B,C,D,D
Câu 107,A,B,C,D,D
Câu 108,A,B,C,D,D
Câu 109,A,B,C,D,B
Câu 110,A,B,C,D,D
Câu 111,A,B,C,D,A
Câu 112,A,B,C,D,B
Câu 113,A,B,C,D,A
Câu 114,A,B,C,D,D
Câu 115,A,B,C,D,C
Câu 116,A,B,C,D,C
Câu 117,A,B,C,D,D
Câu 118,A,B,C,D,D
Câu 119,A,B,C,D,A
Câu 120,A,B,C,D,B
Câu 121,A,B,C,D,A
Câu 122,A,B,C,D,D
Câu 123,A,B,C,D,A
Câu 124,A,B,C,D,C
Câu 125,A,B,C,D,A
Câu 126,A,B,C,D,B
Câu 127,A,B,C,D,C
Câu 128,A,B,C,D,C
Câu 129,A,B,C,D,B
Câu 130,A,B,C,D,A
Câu 131,A,B,C,D,C
Câu 132,A,B,C,D,A
Câu 133,A,B,C,D,C
Câu 134,A,B,C,D,B
Câu 135,A,B,C,D,A
Câu 136,A,B,C,D,D
Câu 137,A,B,C,D,Lỗi đề
Câu 138,A,B,C,D,A
Câu 139,A,B,C,D,D
Câu 140,A,B,C,D,A
Câu 141,A,B,C,D,C
Câu 142,A,B,C,D,C
Câu 143,A,B,C,D,D
Câu 144,A,B,C,D,B
Câu 145,A,B,C,D,A
Câu 146,A,B,C,D,B
Câu 147,A,B,C,D,A
Câu 148,A,B,C,D,C
Câu 149,A,B,C,D,D
Câu 150,A,B,C,D,A
Câu 151,A,B,C,D,a=6;b=4
